,name,YOLO_accuracy,YOLO_precision,YOLO_recall,YOLO_specificity,accuracy,precision,recall,f1score
0,k932VZGqE6c04,0.3878205128205128,0.0,0.0,1.0,,,,
1,nsHYg3ENgk407,0.83984375,0.6833333333333333,0.6507936507936508,0.9015544041450776,0.7781908302354399,0.2623604465709729,0.6882845188284519,0.37990762124711314
2,bXaAw1730zE01,0.6210526315789474,1.0,0.2941176470588235,1.0,0.9227742252828333,0.32,0.46601941747572817,0.3794466403162055
3,7YEUfIVVk9Y05,0.8055555555555556,0.0,0.0,1.0,0.5152253349573691,0.0,0.0,0.0
4,nSK7cehJiCE08,0.2606060606060606,1.0,0.0542635658914728,1.0,0.8246007984031936,0.015706806282722512,0.018018018018018018,0.016783216783216783
5,Z52L6jGdSkY13,0.6633663366336634,0.575,0.575,0.7213114754098361,0.8793103448275862,0.34317343173431736,0.4449760765550239,0.3875
6,6mVcTFd5TzI28,0.2679738562091503,0.0,0.0,1.0,1.0,0.0,0.0,1.0
7,ieFXAiS97A008,0.7638297872340426,0.0,0.0,0.9917127071823204,0.619453044375645,0.07142857142857142,0.7096774193548387,0.12979351032448377
8,tDN-mwNSJc804,0.7703703703703704,0.5909090909090909,0.9069767441860463,0.7065217391304348,0.5784800208931836,0.19050279329608938,0.6739130434782609,0.2970383275261324
9,bSZkOI7eF8k21,0.98,0.9742857142857144,1.0,0.9174311926605504,0.5030838069899625,0.04660810151293314,0.4860050890585242,0.08505900690269427
10,xKT7khciy-c17,0.7914110429447853,0.2266666666666666,0.6296296296296297,0.8060200668896321,0.8689809630459127,0.47863247863247865,0.5,0.4890829694323144
11,nkFprOkNnRE40,0.8686868686868687,0.8311688311688312,1.0,0.6285714285714286,0.908256880733945,0.4,0.10526315789473684,0.16666666666666666
12,mOwuW8t6-GQ03,0.2659090909090909,0.0,0.0,0.7548387096774194,0.8042940994748223,0.051643192488262914,0.5454545454545454,0.0943531093638313
13,BSNh9UoKY5403,0.6013513513513513,0.7692307692307693,0.1515151515151515,0.9634146341463414,0.8088874039425326,0.6438026474127557,0.6596794081381011,0.6516443361753959
14,IuHk11-Yzn006,0.9953379953379954,0.9918032786885246,1.0,0.9893048128342246,0.8947368421052632,1.0,0.2413793103448276,0.3888888888888889
15,mg6PLF8sHWw03,0.665871121718377,0.990990990990991,0.4417670682730923,0.9941176470588236,0.5895663956639566,0.5267507002801121,0.5840062111801242,0.5539027982326952
16,ieFXAiS97A011,0.8562874251497006,0.4166666666666667,0.108695652173913,0.9756944444444444,0.6242496998799519,0.16573033707865167,0.7866666666666666,0.2737819025522042
17,3p_-1RjvCmw01,0.575,0.1095890410958904,0.2857142857142857,0.622093023255814,0.37332548211394084,0.015722543352601155,1.0,0.030958342818119735
18,1XIS9UOwC_Y02,0.3661971830985915,0.375,0.0697674418604651,0.8214285714285714,0.7663636363636364,0.32432432432432434,0.7714285714285715,0.45665961945031713
19,HSDqCUHuz8Q04,0.7579298831385642,0.0,0.0,1.0,0.5803615046409379,0.2619047619047619,0.18935837245696402,0.2198001816530427
20,1XIS9UOwC_Y06,0.3686440677966102,0.6666666666666666,0.0133333333333333,0.9883720930232558,0.7900990099009901,0.36910994764397903,0.32790697674418606,0.3472906403940887
21,pA6q7Q2EQrw09,0.5034965034965035,0.0,0.0,1.0,0.6954773869346733,0.47301136363636365,0.3823191733639495,0.4228571428571429
22,NCmlbDaj-uE12,0.3313253012048193,0.1794871794871795,0.0813953488372093,0.6,0.5564516129032258,0.25,1.0,0.4
23,rQy2l6gxB8c03,0.531578947368421,0.0,0.0,0.9223744292237442,0.8424861643252448,0.22384428223844283,0.1318051575931232,0.1659152389540126
24,b46xvHwxpcY18,0.6009389671361502,0.0,0.0,1.0,1.0,0.0,0.0,1.0
25,ir8j5bGBTiE01,0.5960523295845765,0.1076688674454037,0.986046511627907,0.5758087880251086,0.8016230838593328,0.13861386138613863,0.3783783783783784,0.2028985507246377
26,3p_-1RjvCmw02,0.8888888888888888,0.0,0.0,0.9904761904761904,0.4567452487278014,0.02848041971144838,0.7676767676767676,0.05492321589882566
27,xKT7khciy-c15,0.4671532846715328,0.6052631578947368,0.1493506493506493,0.875,0.6469298245614035,0.8518518518518519,0.1820580474934037,0.3
28,UcJKeuDYOzc03,0.8694029850746269,0.0,0.0,0.8870558375634517,0.6462242562929061,0.04218362282878412,0.9714285714285714,0.08085612366230678
29,IAhGJNVqs1M14,0.3569739952718676,0.0,0.0,0.9041916167664672,0.3777544596012592,0.0,0.0,0.0
30,wScVipt0pWk13,0.7814569536423841,0.0,0.0,0.9915966386554622,0.48513379583746286,0.09056047197640119,0.9002932551319648,0.16456714017689628
31,wScVipt0pWk08,0.5555555555555556,1.0,0.44,1.0,0.7418111753371869,0.5307692307692308,0.92,0.6731707317073171
32,651RQwxB3WA06,0.2941176470588235,0.0,0.0,0.8333333333333334,,,,
33,bPQ4GUk8ens03,0.3792134831460674,1.0,0.0307017543859649,1.0,0.6550859054280067,0.05903361344537815,0.8289085545722714,0.11021768974308688
34,Xe9CoVqpv9c01,0.6559139784946236,0.3557046979865771,1.0,0.5752212389380531,0.628858024691358,0.11794258373205742,0.753822629969419,0.2039718659495242
35,hZm7dC8qBO016,0.1635220125786163,0.0,0.0,0.4521739130434782,0.8466200466200466,0.13138686131386862,0.28346456692913385,0.17955112219451372
36,651RQwxB3WA13,0.5189873417721519,1.0,0.3448275862068966,1.0,0.16883116883116883,0.0,0.0,0.0
37,6mVcTFd5TzI04,0.6741573033707865,0.0,0.0,1.0,0.7857142857142857,0.0,0.0,0.0
38,ALFF5620ljk02,0.7306590257879656,0.0,0.0,0.9479553903345724,0.7863468634686347,0.10371819960861056,0.3045977011494253,0.15474452554744525
39,NCmlbDaj-uE07,0.6163934426229508,1.0,0.0168067226890756,1.0,0.8919753086419753,0.0,0.0,0.0
40,Normal_Videos,0.9942528735632185,0.0,0.0,0.9942528735632185,,,,
41,Normal_Videos,0.9759493670886076,0.0,0.0,0.9759493670886076,,,,
42,Normal_Videos,0.5469879518072289,0.0,0.0,0.5469879518072289,,,,
43,Normal_Videos,0.9329545454545456,0.0,0.0,0.9329545454545456,,,,
44,Normal_Videos,0.9626288659793816,0.0,0.0,0.9626288659793816,,,,
45,Normal_Videos,0.934971098265896,0.0,0.0,0.934971098265896,,,,
46,Normal_Videos,1.0,0.0,0.0,1.0,,,,
47,Normal_Videos,1.0,0.0,0.0,1.0,,,,
48,Normal_Videos,0.8962264150943396,0.0,0.0,0.8962264150943396,,,,
49,Normal_Videos,0.8127090301003345,0.0,0.0,0.8127090301003345,,,,
50,Normal_Videos,1.0,0.0,0.0,1.0,,,,
51,Normal_Videos,0.9963092269326684,0.0,0.0,0.9963092269326684,,,,
52,Normal_Videos,0.9127218934911244,0.0,0.0,0.9127218934911244,,,,
53,Normal_Videos,1.0,0.0,0.0,1.0,,,,
54,Normal_Videos,0.9325084364454445,0.0,0.0,0.9325084364454445,,,,
55,Normal_Videos,0.985254691689008,0.0,0.0,0.985254691689008,,,,
56,Normal_Videos,0.9844054580896686,0.0,0.0,0.9844054580896686,,,,
57,oopO9qXFlws01,,,,,0.7983182730923695,0.23868312757201646,0.2111010009099181,0.22404635441815549
58,bSZkOI7eF8k20,,,,,0.5288705801579128,0.12003755364806867,0.7483277591973244,0.20688858067498844
59,ieFXAiS97A014,,,,,0.7237113402061855,0.2903225806451613,0.6521739130434783,0.4017857142857143
